zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
33170,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-38|SD-40,HD-120|HD-119|HD-118|HD-117,no
33172,Miami-Dade,12086,miami,FL-26,0.478,FL-26|FL-27|FL-28,SD-39|SD-36,HD-116|HD-111,no
33172,Miami-Dade,12086,miami,FL-28,0.285,FL-26|FL-27|FL-28,SD-39|SD-36,HD-116|HD-111,no
33172,Miami-Dade,12086,miami,FL-27,0.237,FL-26|FL-27|FL-28,SD-39|SD-36,HD-116|HD-111,no
33173,Miami-Dade,12086,miami,FL-27,1.0,FL-27,SD-38,HD-116,no
33174,Miami-Dade,12086,miami,FL-27,0.587,FL-27|FL-28,SD-36|SD-39|SD-40,HD-116,no
33174,Miami-Dade,12086,miami,FL-28,0.413,FL-27|FL-28,SD-36|SD-39|SD-40,HD-116,no
33175,Miami-Dade,12086,miami,FL-28,1.0,FL-28,SD-40,HD-118|HD-116,no
33176,Miami-Dade,12086,miami,FL-27,0.996,FL-27,SD-38,HD-115|HD-116|HD-117,no
33177,Miami-Dade,12086,miami,FL-28,0.999,FL-28,SD-38|SD-40,HD-118|HD-119|HD-117,no
33178,Miami-Dade,12086,miami,FL-26,1.0,FL-26,SD-39,HD-111,no
33179,Miami-Dade,12086,miami,FL-24,0.682,FL-24,SD-34|SD-37,HD-107,yes
33179,Miami-Dade,12086,miami,FL-25,0.318,FL-24,SD-34|SD-37,HD-107,yes
33180,Miami-Dade,12086,miami,FL-25,1.0,FL-24,SD-37,HD-106|HD-107,yes
33181,Miami-Dade,12086,miami,FL-25,0.714,FL-24,SD-34,HD-106|HD-107|HD-108,yes
33181,Miami-Dade,12086,miami,FL-24,0.286,FL-24,SD-34,HD-106|HD-107|HD-108,yes
33182,Miami-Dade,12086,miami,FL-28,0.554,FL-26|FL-28,SD-39,HD-111,no
