zip5,county,county_fips,metro,cd_2026_map,cd_share,cd_seed_2024_map,state_senate,state_house,changed
33602,Hillsborough,12057,tampa,FL-12,0.658,FL-14,SD-16,HD-63|HD-65|HD-64,yes
33602,Hillsborough,12057,tampa,FL-14,0.342,FL-14,SD-16,HD-63|HD-65|HD-64,yes
33603,Hillsborough,12057,tampa,FL-12,1.0,FL-14,SD-16|SD-14,HD-64|HD-63,yes
33604,Hillsborough,12057,tampa,FL-12,0.875,FL-14,SD-14|SD-16,HD-64|HD-63,yes
33604,Hillsborough,12057,tampa,FL-15,0.125,FL-14,SD-14|SD-16,HD-64|HD-63,yes
33605,Hillsborough,12057,tampa,FL-15,0.515,FL-14,SD-16,HD-63|HD-62,yes
33605,Hillsborough,12057,tampa,FL-14,0.39,FL-14,SD-16,HD-63|HD-62,yes
33605,Hillsborough,12057,tampa,FL-12,0.095,FL-14,SD-16,HD-63|HD-62,yes
33606,Hillsborough,12057,tampa,FL-14,0.799,FL-14,SD-14|SD-16,HD-65|HD-63,yes
33606,Hillsborough,12057,tampa,FL-12,0.201,FL-14,SD-14|SD-16,HD-65|HD-63,yes
33607,Hillsborough,12057,tampa,FL-14,0.768,FL-14,SD-14|SD-16,HD-64|HD-65|HD-63,yes
33607,Hillsborough,12057,tampa,FL-12,0.232,FL-14,SD-14|SD-16,HD-64|HD-65|HD-63,yes
33609,Hillsborough,12057,tampa,FL-14,0.989,FL-14,SD-14,HD-65,no
33610,Hillsborough,12057,tampa,FL-15,0.929,FL-14|FL-15,SD-16|SD-23,HD-63|HD-62|HD-67,no
33610,Hillsborough,12057,tampa,FL-14,0.071,FL-14|FL-15,SD-16|SD-23,HD-63|HD-62|HD-67,no
33611,Hillsborough,12057,tampa,FL-14,1.0,FL-14,SD-14,HD-65,no
33612,Hillsborough,12057,tampa,FL-12,0.862,FL-15,SD-16|SD-14,HD-66|HD-63,yes
33612,Hillsborough,12057,tampa,FL-15,0.138,FL-15,SD-16|SD-14,HD-66|HD-63,yes
33613,Hillsborough,12057,tampa,FL-12,0.748,FL-15,SD-14|SD-16,HD-66|HD-67,yes
33613,Hillsborough,12057,tampa,FL-15,0.252,FL-15,SD-14|SD-16,HD-66|HD-67,yes
33614,Hillsborough,12057,tampa,FL-12,0.697,FL-14,SD-14,HD-64,yes
33614,Hillsborough,12057,tampa,FL-14,0.303,FL-14,SD-14,HD-64,yes
33615,Hillsborough,12057,tampa,FL-14,0.889,FL-14,SD-14,HD-64|HD-65,yes
33615,Hillsborough,12057,tampa,FL-12,0.111,FL-14,SD-14,HD-64|HD-65,yes
33616,Hillsborough,12057,tampa,FL-14,1.0,FL-14,SD-14,HD-65,no
33617,Hillsborough,12057,tampa,FL-15,1.0,FL-14|FL-15,SD-16,HD-63|HD-67,yes
33618,Hillsborough,12057,tampa,FL-12,1.0,FL-15,SD-14,HD-66,yes
33619,Hillsborough,12057,tampa,FL-15,0.616,FL-14|FL-15|FL-16,SD-16,HD-62,yes
33619,Hillsborough,12057,tampa,FL-14,0.384,FL-14|FL-15|FL-16,SD-16,HD-62,yes
33620,Hillsborough,12057,tampa,FL-15,1.0,FL-15,SD-16,HD-67,no
33621,Hillsborough,12057,tampa,FL-14,1.0,FL-14,SD-14,HD-65,no
33624,Hillsborough,12057,tampa,FL-12,1.0,FL-14|FL-15,SD-14,HD-66|HD-64,yes
33625,Hillsborough,12057,tampa,FL-12,1.0,FL-14,SD-14,HD-66|HD-64,yes
33626,Hillsborough,12057,tampa,FL-12,1.0,FL-14,SD-14,HD-66|HD-65,yes
33629,Hillsborough,12057,tampa,FL-14,1.0,FL-14,SD-14,HD-65,no
33634,Hillsborough,12057,tampa,FL-14,0.692,FL-14,SD-14,HD-64|HD-65,yes
33634,Hillsborough,12057,tampa,FL-12,0.308,FL-14,SD-14,HD-64|HD-65,yes
33635,Hillsborough,12057,tampa,FL-12,0.666,FL-14,SD-14,HD-65,yes
33635,Hillsborough,12057,tampa,FL-14,0.334,FL-14,SD-14,HD-65,yes
33637,Hillsborough,12057,tampa,FL-15,1.0,FL-15,SD-16|SD-14|SD-23,HD-63|HD-67,no
33647,Hillsborough,12057,tampa,FL-15,1.0,FL-15,SD-23|SD-14,HD-67,no
34734,Orange,12095,orlando,FL-10,0.774,FL-11,SD-15|SD-13,HD-41|HD-45,yes
34734,Orange,12095,orlando,FL-11,0.226,FL-11,SD-15|SD-13,HD-41|HD-45,yes
34760,Orange,12095,orlando,FL-11,1.0,FL-11,SD-15,HD-45,no
34761,Orange,12095,orlando,FL-10,0.589,FL-11,SD-15|SD-13,HD-40|HD-39|HD-45,yes
34761,Orange,12095,orlando,FL-11,0.411,FL-11,SD-15|SD-13,HD-40|HD-39|HD-45,yes
34786,Orange,12095,orlando,FL-11,0.988,FL-11,SD-13,HD-45,no
34787,Orange,12095,orlando,FL-11,1.0,FL-11,SD-13|SD-15,HD-45|HD-25|HD-39,no
